category,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_0_perc,bin_1_perc,bin_2_perc,bin_3_perc,bin_4_perc,bin_5_perc,bin_6_perc,bin_7_perc
white_diversity_exp,0.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.0037193392064504742,0.052152194274389496,0.10844452890632424,0.11660264154529042,0.1358780491115666,0.17632925653938564,0.2574217106245503,0.1331903514368323
black_diversity_exp,0.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.3105105268158927,0.2300289131113494,0.14288235214269232,0.09944481396516852,0.07821471718090377,0.06751822340468853,0.04665463084879665,0.008483894175297615
asian_diversity_exp,0.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.5744478681670716,0.21246385861081324,0.08140466139081567,0.049383051215572356,0.028085083277905223,0.01797228142095047,0.013967883370209993,0.00601338419145095
hispanic_diversity_exp,0.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.14440266597890564,0.24249005687602654,0.15523490206192564,0.11156660196283376,0.0933092616975933,0.09132742401824377,0.09663494821430996,0.04877221083495093
other_diversity_exp,0.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.4068875646472736,0.48507513336681646,0.06320161804829712,0.014673743365594755,0.005836919192604759,0.004398050740474284,0.003081350364468094,0.0005836919192604759
total_diversity_exp,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.012800499531689042,0.11593750424194708,0.13430343835263137,0.1679132335174904,0.22288886777341893,0.220296189713448,0.10240399625351233,0.0071943422606523776
total_diversity_resi,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.14570579212423135,0.15739320474012136,0.13728976910233612,0.1277335107032809,0.1330274606686666,0.161859126633998,0.1126796888786328,0.024311447148732845
diff,-0.55,-0.38750000000000007,-0.22500000000000003,-0.0625,0.09999999999999998,0.26249999999999996,0.42500000000000004,0.5874999999999999,0.75,0.00013574230680476183,0.005877641884646187,0.11394209233191709,0.5441501852882488,0.29525309153103746,0.022451777545507607,0.0016560561430180945,0.00027148461360952366
